   0: pushed    0; [ 0 ]
  35: popped    5; [ 6 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 ]
  36: pushed   36; [ 6 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 ]
  37: pushed   37; [ 6 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 ]
  38: pushed   38; [ 6 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 ]
  39: pushed   39; [ 6 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 ]
  40: pushed   40; [ 6 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 ]
  41: popped    6; [ 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 ]
  42: pushed   42; [ 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 ]
  43: pushed   43; [ 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 ]
  44: pushed   44; [ 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 ]
  45: pushed   45; [ 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 ]
  46: pushed   46; [ 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 ]
  47: pushed   47; [ 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 ]
  48: pushed   48; [ 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 ]
  49: pushed   49; [ 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 ]
  50: pushed   50; [ 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 ]
  51: pushed   51; [ 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 ]
  52: pushed   52; [ 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 ]
  53: pushed   53; [ 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 ]
  54: pushed   54; [ 7 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 ]
  55: popped    7; [ 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 ]
  56: pushed   56; [ 8 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 ]
  57: popped    8; [ 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 ]
  58: pushed   58; [ 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 ]
  59: pushed   59; [ 11 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  60: popped   11; [ 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  61: popped   14; [ 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  62: popped   15; [ 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  63: popped   16; [ 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  64: popped   17; [ 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  65: popped   18; [ 19 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  66: popped   19; [ 20 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  67: popped   20; [ 21 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  68: popped   21; [ 22 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  69: popped   22; [ 23 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  70: popped   23; [ 24 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  71: popped   24; [ 25 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  72: popped   25; [ 26 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  73: popped   26; [ 27 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  74: popped   27; [ 28 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  75: popped   28; [ 29 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  76: popped   29; [ 30 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  77: popped   30; [ 31 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  78: popped   31; [ 32 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  79: popped   32; [ 34 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  80: popped   34; [ 36 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  81: popped   36; [ 37 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  82: popped   37; [ 38 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  83: popped   38; [ 39 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  84: popped   39; [ 40 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  85: popped   40; [ 42 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  86: popped   42; [ 43 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  87: popped   43; [ 44 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  88: popped   44; [ 45 46 47 48 49 50 51 52 53 54 56 58 59 ]
  89: popped   45; [ 46 47 48 49 50 51 52 53 54 56 58 59 ]
  90: popped   46; [ 47 48 49 50 51 52 53 54 56 58 59 ]
  91: popped   47; [ 48 49 50 51 52 53 54 56 58 59 ]
  92: popped   48; [ 49 50 51 52 53 54 56 58 59 ]
  93: popped   49; [ 50 51 52 53 54 56 58 59 ]
  94: popped   50; [ 51 52 53 54 56 58 59 ]
  95: popped   51; [ 52 53 54 56 58 59 ]
  96: popped   52; [ 53 54 56 58 59 ]
  97: popped   53; [ 54 56 58 59 ]
  98: popped   54; [ 56 58 59 ]
  99: popped   56; [ 58 59 ]
 100: popped   58; [ 59 ]
 101: popped   59; [ ]
 102: queue empty, stopping
