   0: pushed    0; [ 0 ]
  35: popped   34; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 ]
  36: pushed   36; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 ]
  37: pushed   37; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 ]
  38: pushed   38; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 ]
  39: pushed   39; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 ]
  40: pushed   40; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 40 ]
  41: popped   40; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 ]
  42: pushed   42; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 ]
  43: pushed   43; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 ]
  44: pushed   44; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 ]
  45: pushed   45; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 ]
  46: pushed   46; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 ]
  47: pushed   47; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 ]
  48: pushed   48; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 ]
  49: pushed   49; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 ]
  50: pushed   50; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 ]
  51: pushed   51; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 ]
  52: pushed   52; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 ]
  53: pushed   53; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 ]
  54: pushed   54; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 54 ]
  55: popped   54; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 ]
  56: pushed   56; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 56 ]
  57: popped   56; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 ]
  58: pushed   58; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 ]
  59: pushed   59; [ 0 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  60: popped    0; [ 1 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  61: popped    1; [ 2 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  62: popped    2; [ 3 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  63: popped    3; [ 4 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  64: popped    4; [ 5 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  65: popped    5; [ 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  66: popped   14; [ 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  67: popped   15; [ 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  68: popped   16; [ 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  69: popped   17; [ 18 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  70: popped   18; [ 19 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  71: popped   19; [ 20 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  72: popped   20; [ 21 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  73: popped   21; [ 22 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  74: popped   22; [ 23 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  75: popped   23; [ 24 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  76: popped   24; [ 25 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  77: popped   25; [ 26 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  78: popped   26; [ 27 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  79: popped   27; [ 28 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  80: popped   28; [ 29 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  81: popped   29; [ 30 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  82: popped   30; [ 31 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  83: popped   31; [ 36 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  84: popped   36; [ 37 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  85: popped   37; [ 38 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  86: popped   38; [ 39 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  87: popped   39; [ 42 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  88: popped   42; [ 43 44 45 46 47 48 49 50 51 52 53 58 59 ]
  89: popped   43; [ 44 45 46 47 48 49 50 51 52 53 58 59 ]
  90: popped   44; [ 45 46 47 48 49 50 51 52 53 58 59 ]
  91: popped   45; [ 46 47 48 49 50 51 52 53 58 59 ]
  92: popped   46; [ 47 48 49 50 51 52 53 58 59 ]
  93: popped   47; [ 48 49 50 51 52 53 58 59 ]
  94: popped   48; [ 49 50 51 52 53 58 59 ]
  95: popped   49; [ 50 51 52 53 58 59 ]
  96: popped   50; [ 51 52 53 58 59 ]
  97: popped   51; [ 52 53 58 59 ]
  98: popped   52; [ 53 58 59 ]
  99: popped   53; [ 58 59 ]
 100: popped   58; [ 59 ]
 101: popped   59; [ ]
 102: queue empty, stopping
