   0: pushed    0; [ 0 ]
  54: pushed   54; [ 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 7 ]
  55: popped    7; [ 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 ]
  56: pushed   56; [ 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 8 ]
  57: popped    8; [ 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 ]
  58: pushed   58; [ 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 ]
  59: pushed   59; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 11 ]
  60: popped   11; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 14 ]
  61: popped   14; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 15 ]
  62: popped   15; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 16 ]
  63: popped   16; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 17 ]
  64: popped   17; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 18 ]
  65: popped   18; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 19 ]
  66: popped   19; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 20 ]
  67: popped   20; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 21 ]
  68: popped   21; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 22 ]
  69: popped   22; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 23 ]
  70: popped   23; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 24 ]
  71: popped   24; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 25 ]
  72: popped   25; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 26 ]
  73: popped   26; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 27 ]
  74: popped   27; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 28 ]
  75: popped   28; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 29 ]
  76: popped   29; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 30 ]
  77: popped   30; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 31 ]
  78: popped   31; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 32 ]
  79: popped   32; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 34 ]
  80: popped   34; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 36 ]
  81: popped   36; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 37 ]
  82: popped   37; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 38 ]
  83: popped   38; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 39 ]
  84: popped   39; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 40 ]
  85: popped   40; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 42 ]
  86: popped   42; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 43 ]
  87: popped   43; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 44 ]
  88: popped   44; [ 59 58 56 54 53 52 51 50 49 48 47 46 45 ]
  89: popped   45; [ 59 58 56 54 53 52 51 50 49 48 47 46 ]
  90: popped   46; [ 59 58 56 54 53 52 51 50 49 48 47 ]
  91: popped   47; [ 59 58 56 54 53 52 51 50 49 48 ]
  92: popped   48; [ 59 58 56 54 53 52 51 50 49 ]
  93: popped   49; [ 59 58 56 54 53 52 51 50 ]
  94: popped   50; [ 59 58 56 54 53 52 51 ]
  95: popped   51; [ 59 58 56 54 53 52 ]
  96: popped   52; [ 59 58 56 54 53 ]
  97: popped   53; [ 59 58 56 54 ]
  98: popped   54; [ 59 58 56 ]
  99: popped   56; [ 59 58 ]
 100: popped   58; [ 59 ]
 101: popped   59; [ ]
 102: queue empty, stopping
